date,year,month,day,site,depth,observer,transect,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,a,b,biomass,density,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,blue_tang,10,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,28.8765304,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,graysby,5,2,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,3.282610802,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,yellowhead_wrasse,10,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,41.41152794,0.05,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,redband_parrotfish_terminal,10,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,33.05337854,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,stoplight_parrotfish_initial,10,2,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,43.74849516,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,yellowhead_wrasse,5,2,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,3.131812905,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,yellowhead_wrasse,10,5,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,69.01921323,0.083333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,fairy_basslet,5,30,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,44.87277469,0.5,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,schoolmaster_snapper,20,1,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,0.0182,3,145.6,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,black_jack,60,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,3736.051833,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,queen_triggerfish,45,1,Balistes_vetula,triggerfish,Balistidae,Planktivore,0.0398,2.88,2296.863106,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,threespot_damselfish,10,2,Stegastes_planifrons,damselfish,Pomacentridae,Omnivore,0.02138,2.96,38.99758349,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,blue_tang,20,3,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,669.4293543,0.05,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,bicolor_damselfish,5,5,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,9.393726066,0.083333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,blueheaded_wrasse,5,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,1.310187942,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,blueheaded_wrasse,10,3,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,30.79739193,0.05,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,redband_parrotfish_initial,5,6,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,11.17101476,0.1,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,redband_parrotfish_initial,10,4,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,66.10675709,0.066666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,bicolor_damselfish,10,1,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,15.13450336,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,foureye_butterflyfish,10,2,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,72.48461777,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,blue_chromis,5,5,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,9.096168386,0.083333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,2,blue_chromis,10,3,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,43.36001549,0.05,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,blackcap_basslet,5,170,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,100.2732142,2.833333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,blackcap_basslet,10,90,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,461.5216842,1.5,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,foureye_butterflyfish,10,4,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,144.9692355,0.066666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,blueheaded_wrasse,5,2,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,2.620375883,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,blueheaded_wrasse,10,3,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,30.79739193,0.05,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,fairy_basslet,5,38,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,56.83884794,0.633333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,fairy_basslet,10,10,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,123.0248536,0.166666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,blue_chromis,10,2,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,28.906677,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,creole_wrasse,5,25,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,33.40267851,0.416666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,creole_wrasse,10,55,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,617.1149407,0.916666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,creole_wrasse,20,40,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,3768.994031,0.666666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,sharpnose_puffer,5,1,Canthigaster_rostrata,puffer,Tetraodontidae,Omnivore,0.02818,2.94,3.198252894,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,rock_beauty,10,1,Holocanthus_tricolor,angelfish,Pomacanthidae,Invertivore,0.0331,2.95,29.50040605,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,graysby,20,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,122.3477457,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,queen_angelfish,20,1,Holocanthus_ciliaris,angelfish,Pomacanthidae,Invertivore,0.03311,2.88,184.8951708,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,2,116,AC,1,queen_angelfish,30,1,Holocanthus_ciliaris,angelfish,Pomacanthidae,Invertivore,0.03311,2.88,594.3857574,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,black_jack,40,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,1143.474322,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blue_chromis,10,2,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,28.906677,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blackcap_basslet,5,200,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,117.9684873,3.333333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blackcap_basslet,10,225,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,1153.80421,3.75,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,graysby,20,2,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,244.6954914,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,creole_wrasse,20,25,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,2355.621269,0.416666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,foureye_butterflyfish,10,1,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,36.24230888,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,yellowhead_wrasse,20,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,365.0525959,0.05,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,princess_parrotfish_initial,20,2,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,258.8922539,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,princess_parrotfish_initial,30,2,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,884.4546539,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,queen_triggerfish,30,1,Balistes_vetula,triggerfish,Balistidae,Planktivore,0.0398,2.88,714.4836347,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,squirrelfish,20,1,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,120.4429183,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,barracuda,45,1,Sphyraena_barracuda,barracuda,Sphyraenidae,Macrocarnivore,0.0115,2.94,833.9550269,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blackbar_soldierfish,20,1,Myripristis_jacobus,squirrelfish,Holocentridae,Planktivore,0.0347,2.91,211.9955585,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,creole_wrasse,5,225,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,300.6241066,3.75,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,creole_wrasse,10,120,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,1346.432598,2,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,creole_wrasse,20,10,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,942.2485076,0.166666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,fairy_basslet,5,45,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,67.30916204,0.75,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,fairy_basslet,10,1,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,12.30248536,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,sunshinefish,10,2,Chromis_insolata,damselfish,Pomacentridae,Planktivore,0.01259,3.03,26.98085611,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blackcap_basslet,5,300,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,176.9527309,5,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blackcap_basslet,10,210,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,1076.88393,3.5,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blueheaded_wrasse,5,5,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,6.550939708,0.083333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blueheaded_wrasse,10,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,10.26579731,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,graysby,20,3,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,367.043237,0.05,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,longspine_squirrelfish,20,1,Holocentrus_rufus,squirrelfish,Holocentridae,Invertivore,0.0186,2.89,107.0260831,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,bar_jack,30,2,Caranx_ruber,jack,Carangidae,Invertivore,0.0158,2.99,824.6689333,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,yellowhead_wrasse,5,2,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,3.131812905,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,yellowhead_wrasse,10,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,13.80384265,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,121.6841986,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,princess_parrotfish_initial,30,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,442.2273269,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blue_chromis,5,5,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,9.096168386,0.083333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,blue_chromis,10,9,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,130.0800465,0.15,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,black_jack,40,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,1143.474322,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,schoolmaster_snapper,40,1,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,0.0182,3,1164.8,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,bicolor_damselfish,10,4,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,60.53801342,0.066666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,1,queen_angelfish,30,1,Holocanthus_ciliaris,angelfish,Pomacanthidae,Invertivore,0.03311,2.88,594.3857574,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,blackcap_basslet,5,200,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,117.9684873,3.333333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,blackcap_basslet,10,350,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,1794.80655,5.833333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,creole_wrasse,5,100,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,133.610714,1.666666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,creole_wrasse,10,60,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,673.216299,1,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,creole_wrasse,20,25,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,2355.621269,0.416666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,creole_wrasse,30,5,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,1635.82043,0.083333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,fairy_basslet,5,30,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,44.87277469,0.5,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,fairy_basslet,10,5,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,61.5124268,0.083333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,blueheaded_wrasse,10,2,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,20.53159462,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,blueheaded_wrasse,20,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,80.43624204,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,yellowhead_wrasse,10,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,13.80384265,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,queen_angelfish,20,1,Holocanthus_ciliaris,angelfish,Pomacanthidae,Invertivore,0.03311,2.88,184.8951708,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,bicolor_damselfish,10,1,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,15.13450336,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,sharpnose_puffer,5,1,Canthigaster_rostrata,puffer,Tetraodontidae,Omnivore,0.02818,2.94,3.198252894,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,sharpnose_puffer,10,1,Canthigaster_rostrata,puffer,Tetraodontidae,Omnivore,0.02818,2.94,24.54375396,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,schoolmaster_snapper,40,1,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,0.0182,3,1164.8,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,bar_jack,40,3,Caranx_ruber,jack,Carangidae,Invertivore,0.0158,2.99,2923.733041,0.05,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,sunshinefish,5,20,Chromis_insolata,damselfish,Pomacentridae,Planktivore,0.01259,3.03,33.03199765,0.333333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,sunshinefish,10,2,Chromis_insolata,damselfish,Pomacentridae,Planktivore,0.01259,3.03,26.98085611,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,blue_tang,20,4,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,892.5724724,0.066666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,foureye_butterflyfish,10,2,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,72.48461777,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,black_jack,40,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,1143.474322,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,145,GGG,2,black_grouper,30,2,Mycteroperca_bonaci,grouper,Serranidae,Macrocarnivore,0.0095,3.14,825.8750399,0.033333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,blackcap_basslet,5,60,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,35.39054619,1,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,blackcap_basslet,10,60,Gramma_melacara,basslet,Grammatidae,Omnivore,0.00389,3.12,307.6811228,1,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,creole_wrasse,5,210,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,280.5824994,3.5,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,creole_wrasse,10,30,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,336.6081495,0.5,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,creole_wrasse,20,50,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,4711.242538,0.833333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,fairy_basslet,5,20,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,29.91518313,0.333333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,fairy_basslet,10,5,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,61.5124268,0.083333333,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,squirrelfish,20,1,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,120.4429183,0.016666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,black_durgon,20,3,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,515.3266059,0.05,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,black_durgon,30,4,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,2263.234754,0.066666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,sunshinefish,5,10,Chromis_insolata,damselfish,Pomacentridae,Planktivore,0.01259,3.03,16.51599882,0.166666667,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,bicolor_damselfish,5,6,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,11.27247128,0.1,,,,,,,,,,,,,,,,
15-Jul-24,2024,July,15,3,115,GGG,3,bicolor_damselfish,10,3,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,45.40351007,0.05,,,,,,,,,,,,,,,,
